text,category,acronym,description
"Problem Solve",ER,,"1. OBSERVE and DESCRIBE the problem that is setting off negative emotions. 2. CHECK THE FACTS! 3. Identify your GOAL in solving the problem. 4. BRAINSTORM lots of solutions. 5. CHOOSE the solutions that are likely to work. 6. Put the solution into ACTION. 7. If it didn't work, TRY another solution. If it did, YEA! Reward yourself."
"Accumulate Positive Emotions",ER,ABC,"Accumulate postitive experiences, events, and valued actions to build a wall between you and the sea of emotional dyscontrol. Build positive experiences NOW. Be mindful of positive experiences. Be unmindful of worries. Build a 'life worth living' for the LONG TERM."
"Build Mastery",ER,ABC,"Do things that make you feel competent and effective, as a line of defense against helplessness and hopelessness. Plan to do at least one thing each day to build a sense of accomplishment."
"Cope Ahead",ER,ABC,"Rehearse a plan ahead of time so that you are prepared to cope skillfully with emotional situations. Describe the situation that will likely prompt an emotion you want to decrease. Decide on a specific coping skill. Imagine the situation. Rehearse coping effectively in your mind."
"Reduce Vulnerability: PLEASE",ER,PLEASE,"Take care of your mind by taking care of your body. Treat physical illness. Balance eating. Avoid mood-altering drugs. Balance sleep. Get exercise."
"Mindfulness of Current Emotion",ER,,"Experience your emotion as a wave, coming and going. Practice mindfulness of emotional body sensations. Remember: You are not your emotion. Practice loving your emotion."
"CRISIS: STOP skill",DT,STOP,"Stop! Take a step back! Observe. Proceed mindfully. When a crisis arises and you notice your emotion becoming hard to tolerate, STOP! Just STOP! Do not react! Note that your emotions may cause you to lose control. Observe and notice what's going on inside and outside. Proceed mindfully while acting with awareness."
"Pros and Cons",DT,,"Pro: Think of all the positive consequences of tolerating the distress. Imagine how good you will feel if you achieve your goals, if you don't act impulsively. Con: Think of all the negative consequences of not tolerating your current distress. Remember what has happened in the past when you have acted impulsively to escape the moment."
"TIP",DT,TIP,"T: Change your body temperature. Use ice water to calm yourself down FAST. Or warm your body to relax. I: Intensely exercise to calm down a body revved up by emotion. P: Progressively relax your muscles."
"Distract",DT,,"Shift attention away from the prompting events with ACCEPTS. Activities, Contributing, Comparisons, opposite Emotions, Pushing away, other Thoughts, other Sensations."
"Self-Soothe",DT,,"Reduce your vulnerability to emotion mind and increase your resistance to temptation. Use your FIVE SENSES. Vision, Hearing, Smell, Taste, Touch."
"Improve the Moment",DT,,"Imagery: imaging relaxing scenes, use your mind to create a safe painless place for the moment. Meaning: find or create some purpose, meaning, or value in the pain. Prayer: open your heart to a supreme being, greater wisdom, or your own wise mind. Relaxation: use techniques to relax your body or parts of it. One thing in the moment: focus your entire attention on just what you are doing right now. Vacation: find vacation activites and do for limited time. Encouragement: cheerlead yourself."
"REALITY: Radical Acceptance",DT,,"Acceptance is acknowledging what is. Freedom from suffering requires acceptance from deep within of what is. Deciding to tolerate the moment is acceptance. Acceptance allows you to move on."
"ACCEPT: Half-Smiling, Willing Hands",DT,,"Accept the reality with your face by half-smiling. Relax your face from the top of your head down to your chin and jaw. Let both corners of your lips go slightly up, just so you can feel them. Try to adopt a serene facial expression. Try a willing posture, open your hands and relax your body. Ask yourself, 'What's the threat?'."
"Willingness and Mindfulness of Current Thoughts",DT,,"Participate fully in life and living. Respond with willingness to each situation. Practice willingness to participate, to be fully part of reality. Replace willfulness with WILLINGNESS. Observe your thoughts. Practice allowing your thoughts. Remember: you are not your thoughts."
